optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
trace,100,0.075,0.8787914587528066,0.762707448206142,0.07542470157372753,2.858,0.07,2.374,0.061,5.5869,0.0186,30.0,239.5
trace,100,0.09,0.8788156078120083,0.7628264075929672,0.07469719093224472,2.885,0.084,2.378,0.062,5.5868,0.0186,30.0,239.5
trace,100,0.1,0.8788317071848097,0.7629057138508506,0.07421218383792258,2.91,0.093,2.381,0.063,5.5868,0.0186,30.0,239.5
trace,100,0.125,0.8788730681439855,0.7631172583113117,0.07253151319949977,2.984,0.118,2.389,0.065,5.5867,0.0187,30.0,239.7
trace,100,0.15,0.8797968007072915,0.7633257474310668,0.07774047103846107,3.099,0.145,2.392,0.068,5.5841,0.0213,30.0,240.9
trace,100,0.175,0.8729233171360734,0.7622327649165382,0.04792564077836826,2.649,0.149,0.528,0.051,5.5928,0.0126,30.0,253.5
trace,100,0.2,0.8799152270576432,0.7636607083534889,0.07669747549815813,3.3,0.204,2.408,0.073,5.5835,0.0219,30.0,240.7
trace,100,0.25,0.8801056450161452,0.7640495122571656,0.07589863286045495,3.606,0.25,2.421,0.078,5.5822,0.0233,30.0,240.6
trace,100,0.3,0.8801898803370665,0.7669190204496403,0.05703062934374593,2.833,0.261,0.716,0.043,5.5914,0.014,30.01,258.3
trace,100,0.4,0.8820189673577307,0.7635269773734131,0.05742162444301131,6.732,0.448,1.069,0.055,5.5912,0.0143,30.0,263.7
trace,100,0.5,0.8811897788967394,0.7661048654857302,0.04407322230878609,7.153,0.675,1.387,0.102,5.5947,0.0107,30.0,267.0
trace,100,0.75,0.8838072068810633,0.7709387703575084,0.04539055230462337,7.961,0.695,1.515,0.053,5.6123,0.0069,30.0,258.9
trace,100,1.0,0.878474863554418,0.768503307042416,0.07852951459758478,10.895,0.517,3.321,0.167,5.6037,0.0018,30.0,245.0
trace,100,1.5,0.8782578589453576,0.770473508166835,0.04079635618671573,14.219,1.064,3.281,0.217,5.6009,0.0046,30.0,275.0
trace,100,2.0,0.8832236088131444,0.7654671982525018,0.046267545382509684,16.556,1.119,12.793,0.15,5.6474,0.042,30.0,285.7
trace,200,0.0,0.8292534253281902,0.6581013527115689,0.18235849208188587,0.669,0.0,0.1,0.0,5.6054,0.0,16.78,102.4
trace,200,0.0025,0.8546627956455559,0.7753507388066957,0.06609621878134272,1.226,0.004,0.1,0.001,5.6046,0.0009,30.01,218.7
trace,200,0.005,0.8579638682488953,0.7700442098550759,0.08309822224635874,5.025,0.008,0.105,0.006,5.5972,0.0083,30.0,216.8
trace,200,0.0075,0.8544220471777707,0.7685709225441574,0.05558307618799843,1.226,0.016,0.19,0.002,5.5628,0.0426,29.37,201.6
trace,200,0.01,0.8553940074663546,0.7692840150661706,0.05583072948967176,1.226,0.021,0.194,0.001,5.5605,0.045,29.92,204.4
trace,200,0.015,0.8590675901688615,0.7732020430461588,0.05600000000000091,1.553,0.026,0.1,0.004,5.5991,0.0063,30.0,218.7
trace,200,0.02,0.8592158445960956,0.7737346525208133,0.06100000000000063,1.553,0.032,0.102,0.008,5.5977,0.0077,30.0,224.4
trace,200,0.025,0.8580203850955076,0.7744096518470692,0.049388828137521566,1.268,0.047,0.1,0.007,5.5974,0.0081,30.01,219.7
trace,200,0.03,0.8577311225812441,0.7744099344372319,0.048778089731906685,1.292,0.058,0.1,0.008,5.5973,0.0082,30.0,218.0
trace,200,0.04,0.8600737516581303,0.7750323409914374,0.0526366855375078,1.337,0.061,0.108,0.013,5.5951,0.0103,30.0,217.5
trace,200,0.05,0.859313897592962,0.7737829365181523,0.05995978927478785,1.374,0.082,0.106,0.02,5.5973,0.0082,30.01,227.7
trace,200,0.06,0.8570452435643359,0.7749982793089769,0.06005415179425509,2.904,0.099,0.109,0.023,5.5971,0.0083,30.02,224.8
trace,200,0.075,0.8580049732199858,0.7763061739456749,0.052545422236688774,1.512,0.094,0.162,0.028,5.5946,0.0108,30.0,218.1
trace,200,0.09,0.854140535108667,0.7746281763301958,0.05576082060007547,2.298,0.119,0.875,0.049,5.5502,0.0553,29.6,204.0
trace,200,0.1,0.854352208498531,0.7749203257451694,0.05546403866092422,2.427,0.134,0.912,0.05,5.5502,0.0552,29.6,204.1
trace,200,0.125,0.8560922986847264,0.7779816281456886,0.05513469265758204,1.998,0.182,0.471,0.062,5.5564,0.049,30.0,204.7
trace,200,0.15,0.8590693647945107,0.7790050291624837,0.050988235651132995,3.953,0.326,0.443,0.071,5.5995,0.006,30.0,223.5
trace,200,0.175,0.8557174446928942,0.7780881619589418,0.05585789628487677,2.498,0.252,0.741,0.083,5.5609,0.0445,30.0,202.5
trace,200,0.2,0.8586450681875185,0.7778646329452282,0.06599999999999749,3.155,1.256,1.318,0.117,5.5856,0.0198,30.0,224.1
trace,200,0.25,0.8555959047772023,0.7783626064723779,0.05433102904269743,3.321,0.358,1.294,0.089,5.5481,0.0573,30.0,206.0
trace,200,0.3,0.860183335387867,0.779564749174281,0.053999999999998306,4.553,0.673,0.312,0.072,5.6084,0.003,30.0,230.8
trace,200,0.4,0.8573298722660669,0.7808418211584697,0.052495190317261395,3.447,0.725,0.786,0.118,5.5621,0.0434,30.0,208.1
trace,200,0.5,0.8571290353350849,0.7814832527627039,0.05154343833787435,3.889,0.915,1.017,0.129,5.5649,0.0406,30.0,208.0
trace,200,0.75,0.8591590982605816,0.782521779947471,0.051812531666728896,5.102,1.261,1.803,0.178,5.5677,0.0377,30.0,211.7
trace,200,1.0,0.8592849211016106,0.7836530093625489,0.04946969398182745,5.856,1.73,2.233,0.2,5.5703,0.0351,30.0,212.9
trace,200,1.5,0.8602231432631062,0.7860236860474265,0.043168405666870115,8.052,2.59,2.582,0.237,5.5634,0.0421,30.0,213.5
trace,200,2.0,0.8616128998897772,0.7875652495015716,0.03893085153603487,9.283,3.439,3.269,0.256,5.5646,0.0409,30.0,216.4
