MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2035-02-12,1250000,2025-02-10,532457CX4,1250000,5.1
2055-02-12,1250000,2025-02-10,532457CY2,1250000,5.5
2065-02-12,750000,2025-02-10,532457CZ9,750000,5.6
2035-02-20,1000000,2025-02-10,907818GG7,1000000,5.1
2054-12-01,1000000,2025-02-10,907818GH5,1000000,5.6
2034-01-15,796073,2025-01-14,08576PAQ4,796073,5.65
2031-06-15,799275,2025-01-14,08576BAB8,799275,5.8
2032-01-30,750000,2025-01-28,89115A3G5,750000,5.298
2030-04-01,1100000,2025-02-18,233331BN6,1100000,5.2
2055-03-15,950000,2025-02-18,341081GY7,950000,5.7
2030-03-01,1000000,2025-02-18,478160DJ0,1000000,4.7
2032-03-01,1250000,2025-02-18,478160DK7,1250000,4.85
2035-03-01,1250000,2025-02-18,478160DL5,1250000,5
2030-03-15,1000000,2025-02-18,00287YDZ9,1000000,4.875
2035-03-15,1000000,2025-02-18,00287YEA3,1000000,5.2
2055-03-15,750000,2025-02-18,00287YEB1,750000,5.6
2030-02-21,1000000,2025-02-18,055451BJ6,1000000,5
2032-02-21,750000,2025-02-18,055451BK3,750000,5.125
2035-02-21,1250000,2025-02-18,055451BL1,1250000,5.3
2035-04-01,1250000,2025-02-18,29273VBE9,1250000,5.7
2055-04-01,1100000,2025-02-18,29273VBF6,1100000,6.2
2031-02-25,1750000,2025-02-19,06738ECY9,1750000,5.367
2036-02-25,2000000,2025-02-19,06738ECZ6,2000000,5.785
2030-02-24,1000000,2025-02-19,17275RBX9,1000000,4.75
2030-03-01,750000,2025-02-18,404119CZ0,750000,5.25
2032-03-01,750000,2025-02-18,404119DA4,750000,5.5
2035-03-01,1500000,2025-02-18,404119DB2,1500000,5.75
2055-03-01,1250000,2025-02-18,404119DC0,1250000,6.2
2032-02-24,1000000,2025-02-19,17275RBY7,1000000,4.95
2035-02-24,1250000,2025-02-19,17275RBZ4,1250000,5.1
2055-02-24,750000,2025-02-19,17275RCA8,750000,5.5
2035-02-15,1000000,2025-02-19,30212PBL8,1000000,5.4
2035-03-01,800000,2025-02-24,03040WBF1,800000,5.25
2030-04-15,1100000,2025-02-24,166756BD7,1100000,4.687
2035-04-15,750000,2025-02-24,166756BF2,750000,4.98
2031-03-15,500000,2025-02-24,373334LA7,900000,4.85
2030-03-15,750000,2025-02-24,50212YAL8,750000,5.2
2037-04-15,1500000,2025-02-24,571903BU6,1500000,5.5
2035-04-15,750000,2025-02-25,03076CAP1,750000,5.2
2056-03-04,2000000,2025-02-25,17327CAY9,2000000,5.612
2035-08-15,1000000,2025-02-24,87612GAM3,1000000,5.55
2055-05-15,1000000,2025-02-24,87612GAN1,1000000,6.125
2031-03-05,750000,2025-02-24,174610BJ3,750000,5.253
2035-03-01,1000000,2025-02-24,694308KU0,1000000,5.7
2055-03-01,750000,2025-02-24,694308KV8,750000,6.15
2035-03-15,750000,2025-02-27,023608AR3,750000,5.375
2032-04-04,750000,2025-02-27,37045XFG6,750000,5.625
2031-03-03,1750000,2025-02-26,404280ER6,1750000,5.13
2036-03-03,2250000,2025-02-26,404280ES4,2250000,5.45
2030-03-15,750000,2025-03-03,12572QAL9,750000,4.4
2035-03-15,850000,2025-03-03,26442UAU8,850000,5.05
2055-03-15,750000,2025-03-03,26442UAV6,750000,5.55
2035-05-01,750000,2025-03-03,444859CD2,750000,5.55
2035-04-01,1000000,2025-03-03,55336VBY5,1000000,5.4
2055-04-01,1000000,2025-03-03,55336VBZ2,1000000,5.95
2031-07-29,994506,2025-02-03,03770DAD5,994506,6.7
2030-04-01,2000000,2025-03-03,871607AC1,2000000,4.85
2032-04-01,1500000,2025-03-03,871607AD9,1500000,5
2035-04-01,2400000,2025-03-03,871607AE7,2400000,5.15
2055-04-01,2100000,2025-03-03,871607AG2,2100000,5.7
2035-06-15,600000,2025-03-06,126408HZ9,900000,5.05
2030-06-15,800000,2025-03-06,25746UDW6,800000,5
2035-04-01,1200000,2025-03-06,25278XBC2,1200000,5.55
2030-04-15,850000,2025-03-06,377372AP2,850000,4.5
2035-04-15,750000,2025-03-06,377372AQ0,750000,4.875
2035-05-15,600000,2025-03-10,858119BS8,750000,5.25
2030-03-15,650000,2025-03-11,03027XCN8,850000,4.9
2035-03-14,750000,2025-03-11,74432QCK9,750000,5.2
2032-08-15,1000000,2025-03-11,05526DCB9,1000000,5.35
2035-08-15,1000000,2025-03-11,05526DCC7,1000000,5.625
2030-03-14,1750000,2025-03-11,76720AAS5,1750000,4.875
2032-03-14,1250000,2025-03-11,76720AAT3,1250000,5
2035-03-14,1750000,2025-03-11,76720AAU0,1750000,5.25
2055-03-14,1750000,2025-03-11,76720AAV8,1750000,5.75
2065-03-14,750000,2025-03-11,76720AAW6,750000,5.875
2030-03-15,850000,2025-03-12,842400JJ3,850000,5.25
2032-03-15,800000,2025-03-12,00130HCM5,800000,5.8
2055-05-15,600000,2025-03-17,744448DB4,800000,5.85
2032-03-19,750000,2025-03-18,345397G98,750000,6.532
2031-03-20,750000,2025-03-17,80282KBQ8,750000,5.741
2035-04-15,750000,2025-03-18,98389BBE9,750000,5.6
