bond_id,cusip,offering_amt,amount_outstanding,offering_date
1379,369604CA9,1000000000.0,1000000000.0,2025-07-22
1380,65339KCJ7,1000000000.0,1000000000.0,2022-06-21
1381,89153VAT6,1250000000.0,1250000000.0,2019-07-08
1382,532457DE5,1250000000.0,1250000000.0,2025-08-18
1383,009158BK1,1150000000.0,1150000000.0,2024-02-06
1384,931142FT5,1000000000.0,1000000000.0,2026-04-27
1385,620076BZ1,900000000.0,900000000.0,2024-03-11
1386,92857WBM1,3000000000.0,1443947000.0,2018-05-23
1387,458140CH1,1000000000.0,1000000000.0,2023-02-07
1389,49177JAK8,1223594000.0,1223594000.0,2023-10-19
1390,031162CW8,1250000000.0,1250000000.0,2020-05-04
1391,21684AAB2,1250000000.0,1250000000.0,2013-11-25
1392,42824CBU2,1250000000.0,1250000000.0,2024-09-12
1393,92343VDR2,1706297000.0,1136127000.0,2017-06-07
1394,404119CU1,1300000000.0,1300000000.0,2024-02-20
1395,42824CCA5,850000000.0,850000000.0,2025-09-08
1396,039482AB0,1000000000.0,1000000000.0,2020-03-25
1397,67066GAF1,1500000000.0,1500000000.0,2020-03-26
1398,60687YDB2,1100000000.0,1100000000.0,2023-06-29
1399,404280AG4,900000000.0,1221457000.0,2006-04-26
1400,59156RAJ7,400000000.0,750000000.0,2004-05-26
1401,43849RAH8,1000000000.0,1000000000.0,2026-03-10
1402,125523CM0,1500000000.0,1500000000.0,2021-03-01
1403,571748CB6,1000000000.0,1000000000.0,2024-10-30
1404,26441CCJ2,1000000000.0,1000000000.0,2025-09-08
1405,883556DD1,750000000.0,750000000.0,2025-09-30
1406,55354GAR1,1250000000.0,1250000000.0,2025-08-05
1408,00774MBM6,1100000000.0,1100000000.0,2024-09-03
1409,057224AZ0,1500000000.0,1145657000.0,2010-08-19
1410,87938WAX1,1250000000.0,1250000000.0,2019-02-26
1411,87938WAW3,1250000000.0,1250000000.0,2018-02-27
1412,02079KAG2,2000000000.0,2000000000.0,2020-08-03
1413,62954HAY4,1000000000.0,1000000000.0,2022-04-14
1414,548661EQ6,1000000000.0,1000000000.0,2023-03-28
1415,828807DY0,1000000000.0,1000000000.0,2024-09-23
1416,79466LAL8,2000000000.0,2000000000.0,2021-06-29
1417,747525BT9,1200000000.0,1200000000.0,2022-11-07
1418,478160CF9,1500000000.0,1500000000.0,2017-02-28
1419,30161NBL4,650000000.0,1050000000.0,2023-02-16
1420,961214FP3,750000000.0,750000000.0,2023-11-08
1421,12505BAG5,1000000000.0,1000000000.0,2023-06-20
1422,278062AE4,999800000.0,999800000.0,2013-10-10
1423,37045XCY0,750000000.0,1100000000.0,2020-06-17
1424,126650EF3,1000000000.0,1000000000.0,2024-05-07
1425,04010LBK8,750000000.0,750000000.0,2025-05-27
1426,96949LAC9,1000000000.0,1000000000.0,2015-02-26
1427,91324PEE8,1500000000.0,1500000000.0,2021-05-17
1429,532457DF2,1000000000.0,1000000000.0,2025-08-18
1430,437076CS9,1250000000.0,1250000000.0,2022-09-12
1431,842400HT3,750000000.0,750000000.0,2022-11-03
1432,341081HE0,1050000000.0,1050000000.0,2026-05-26
1433,04636NAM5,1000000000.0,1000000000.0,2024-02-21
1434,110122DY1,1000000000.0,1000000000.0,2023-10-30
1435,00287YDZ9,1000000000.0,1000000000.0,2025-02-18
1436,60871RAT7,1000000000.0,1000000000.0,2026-05-20
1437,58933YAZ8,1250000000.0,1250000000.0,2020-06-16
1438,88732JAY4,1200000000.0,1200000000.0,2010-11-09
1439,06051GKB4,2000000000.0,2000000000.0,2021-07-15
1440,459200LG4,1000000000.0,1000000000.0,2025-02-05
1441,16411RAP4,1000000000.0,1000000000.0,2026-03-19
1442,55336VBZ2,1000000000.0,1000000000.0,2025-03-03
1443,49271VAJ9,750000000.0,750000000.0,2020-04-07
1444,404119DK2,750000000.0,750000000.0,2026-04-27
1445,90353TAQ3,1250000000.0,1250000000.0,2024-09-04
1446,125523CQ1,1500000000.0,1500000000.0,2021-03-01
1447,6174468Y8,2000000000.0,2000000000.0,2021-01-20
1448,92343VFL3,1000000000.0,1000000000.0,2020-09-16
1449,46590XBC9,1000000000.0,1000000000.0,2026-03-30
1450,694308KR7,1100000000.0,1100000000.0,2024-02-26
1451,03938LBF0,1000000000.0,1000000000.0,2022-11-21
1452,084664BL4,750000000.0,750000000.0,2010-01-06
1453,931142FE8,1500000000.0,1500000000.0,2023-04-12
