bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
576,MARRIOTT INTERNATIONAL INC,Consumer Cyclical,BBB,10-15yr,0.000409135128033806,0.008026106104734903
1076,ENERGY TRANSFER OPERATING LP,Energy,BBB,3-5yr,0.00031453333408558047,0.007942070488579407
533,GLOBAL PAYMENTS INC,Technology,BBB,7-10yr,0.00042777339414714114,0.007653489120919834
362,HEWLETT PACKARD ENTERPRISE CO,Technology,BBB,7-10yr,0.0005290245154655294,0.007587050557334006
421,SYNOPSYS INC,Technology,BBB,20yr+,0.000483285202949561,0.00756380459212089
56,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.0009855109141656464,0.007491801254758646
114,AERCAP IRELAND CAPITAL DAC,Finance Companies,BBB,5-7yr,0.0008113186865442599,0.00724915714803027
470,MARSH & MCLENNAN COMPANIES INC,Insurance,A-or-better,7-10yr,0.000454269956243396,0.007231295718010198
543,COSTCO WHOLESALE CORPORATION,Consumer Cyclical,A-or-better,3-5yr,0.0004242472356932669,0.007192344199540527
159,APPLE INC,Technology,A-or-better,15-20yr,0.0007384783276256581,0.007108584483247011
1128,UNITEDHEALTH GROUP INC,Insurance,A-or-better,10-15yr,0.0003070780276402464,0.007080757221632831
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.007070977641336873
307,INTERNATIONAL BUSINESS MACHINES CO,Technology,A-or-better,20yr+,0.0005801034393545074,0.007035825939829959
569,COCA-COLA CO,Consumer Non-Cyclical,A-or-better,20yr+,0.0004110493283373377,0.007027620864039244
1039,HUNTINGTON BANCSHARES INC(FXD-FRN),Banking,Unknown/Ambiguous,5-7yr,0.00031936920853660797,0.007021057667062051
377,WELLS FARGO & COMPANY,Banking,A-or-better,15-20yr,0.000519252019179078,0.006972593798261185
1096,UNION PACIFIC CORPORATION,Transportation,A-or-better,20yr+,0.0003105034387097242,0.0069138995174404935
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.006857362516079238
213,VISA INC,Technology,A-or-better,15-20yr,0.0006803470868289318,0.006815656312748504
102,ALPHABET INC,Technology,A-or-better,7-10yr,0.0008483937240021373,0.0067013427941771736
